epoch,train_loss,train_lr_avg,eval_loss,eval_top1,eval_top5
0,7.090710163116455,1e-06,6.943958759307861,0.17383311688899994,0.907129168510437
1,6.8118109703063965,0.00020095,6.12832498550415,2.567535161972046,8.276055335998535
2,6.447254180908203,0.00040090000000000004,4.751448631286621,12.737771987915039,29.571611404418945
3,6.017512321472168,0.0006008500000000001,3.7302722930908203,25.207799911499023,48.76518630981445
4,5.640756607055664,0.0008008000000000001,3.14203143119812,34.8085823059082,60.58184051513672
5,5.262496471405029,0.00100075,2.7596211433410645,41.85981369018555,68.21251678466797
6,5.098292827606201,0.0012007,2.506648063659668,46.88698959350586,73.02989196777344
7,4.940370082855225,0.00140065,2.2956018447875977,50.6733512878418,76.3986587524414
8,4.844060897827148,0.0016006,2.160919427871704,53.564579010009766,78.68446350097656
9,4.662004470825195,0.00180055,1.9991813898086548,55.85637664794922,80.38682556152344
10,4.671730041503906,0.0020005,1.923620343208313,57.858455657958984,82.02125549316406
11,4.483982563018799,0.00220045,1.86908757686615,59.317054748535156,82.79851531982422
12,4.554003715515137,0.0024004000000000004,1.8240346908569336,60.24216842651367,83.82552337646484
13,4.421135902404785,0.0026003500000000004,1.720333456993103,61.49896240234375,84.59678649902344
14,4.429117202758789,0.0028003000000000004,1.722196102142334,62.09638595581055,84.93046569824219
15,4.388063907623291,0.0030002500000000003,1.694494366645813,63.12540054321289,85.87755584716797
16,4.303572177886963,0.0032002000000000003,1.602410912513733,63.63091278076172,86.09734344482422
17,4.280671119689941,0.0034001500000000002,1.5667527914047241,64.64993286132812,86.93254089355469
18,4.308218955993652,0.0036001,1.5581843852996826,64.62196350097656,86.90257263183594
19,4.252808570861816,0.00380005,1.5370796918869019,65.43118286132812,87.47602081298828
20,4.223785400390625,0.003956404463463943,1.5101444721221924,65.99864196777344,87.6998062133789
21,4.126074314117432,0.003951953940067802,1.4355546236038208,66.50814819335938,88.03348541259766
22,4.197288513183594,0.003947289911231955,1.4506038427352905,67.19149780273438,88.2532730102539
23,4.090299606323242,0.003942412888419724,1.4216266870498657,67.86285400390625,88.69485473632812
24,4.084968090057373,0.003937323406451619,1.409044623374939,68.02669525146484,88.96659088134766
25,4.081468105316162,0.003932022023446691,1.3855270147323608,68.348388671875,89.21235656738281
26,4.044707298278809,0.003926509320761328,1.3224109411239624,68.76598358154297,89.45012664794922
27,4.018732070922852,0.003920785902925501,1.3633981943130493,69.00175476074219,89.53604125976562
28,4.023141860961914,0.003914852397576474,1.2985455989837646,69.1016616821289,89.8057861328125
29,4.057313919067383,0.003908709455389973,1.3150203227996826,69.39337921142578,89.78980255126953
30,3.9780895709991455,0.003902357750008832,1.2784264087677002,70.37044525146484,90.2733383178711
31,3.955235719680786,0.003895797977969124,1.2759064435958862,70.35446166992188,90.42119598388672
32,3.968494415283203,0.0038890308586237757,1.2664284706115723,70.37643432617188,90.47114562988281
33,3.915332078933716,0.0038820571340636807,1.2530338764190674,70.865966796875,90.77085876464844
34,3.8896713256835938,0.0038748775690363242,1.212662935256958,71.28556823730469,90.83080291748047
35,3.862914800643921,0.0038674929508619176,1.2664592266082764,71.19165802001953,90.80082702636719
36,3.838454484939575,0.003859904089347062,1.2014895677566528,71.50735473632812,91.07057189941406
37,3.860206127166748,0.00385211181669594,1.2294063568115234,71.73313903808594,91.03460693359375
38,3.746150016784668,0.003844116987419059,1.1811764240264893,72.07880401611328,91.23841094970703
39,3.9107062816619873,0.0038359204782395426,1.177936315536499,71.98489379882812,91.37428283691406
40,3.8084280490875244,0.003827523187996989,1.1408711671829224,72.12875366210938,91.21842956542969
41,3.8190531730651855,0.0038189260375489026,1.1709281206130981,72.16871643066406,91.37628173828125
42,3.8200600147247314,0.0038101299696697098,1.1528737545013428,72.580322265625,91.44821166992188
43,3.7780508995056152,0.0038011359489473766,1.1517442464828491,72.74016571044922,91.75391387939453
44,3.753995180130005,0.0037919449616776292,1.1417838335037231,72.66423797607422,91.84982299804688
45,3.789628267288208,0.0037825580157557943,1.1171849966049194,72.91000366210938,91.9217529296875
46,3.808506488800049,0.003772976140566274,1.116835594177246,73.1218032836914,91.82584381103516
47,3.80281662940979,0.0037632003868696595,1.1432914733886719,73.24568176269531,91.96371459960938
48,3.742797613143921,0.003753231826687508,1.1165412664413452,73.3715591430664,92.1595230102539
49,3.735748529434204,0.0037430715531847785,1.1616148948669434,73.52141571044922,92.04364013671875
50,3.764003276824951,0.0037327206805499555,1.1183332204818726,73.58135986328125,92.28939819335938
51,3.713303327560425,0.003722180343872868,1.1583538055419922,73.361572265625,92.04563903808594
52,3.739877700805664,0.0037114516990202112,1.1095436811447144,73.96299743652344,92.40328979492188
53,3.709106206893921,0.003700535922508794,1.1005064249038696,73.61932373046875,92.20548248291016
54,3.7096118927001953,0.0036894342113765206,1.1355788707733154,73.83512115478516,92.3133773803711
55,3.711177110671997,0.0036781477830511214,1.1218384504318237,73.78716278076172,92.42327117919922
56,3.6977269649505615,0.003666677875216649,1.067491054534912,74.03292846679688,92.52117919921875
57,3.657193422317505,0.003655025745677751,1.0984584093093872,74.15081787109375,92.54515838623047
58,3.683414936065674,0.00364319267222174,1.0756012201309204,74.446533203125,92.5291748046875
59,3.8093338012695312,0.003631179952478466,1.0448299646377563,74.45452117919922,92.7689437866211
60,3.758007764816284,0.003618988903778021,1.0790847539901733,74.47650146484375,92.47122955322266
61,3.6883316040039062,0.003606620863006274,1.0834835767745972,74.55043029785156,92.63906860351562
62,3.6380507946014404,0.003594077186458272,1.0568701028823853,74.51246643066406,92.71499633789062
63,3.646944522857666,0.0035813592496895023,1.089117169380188,74.5064697265625,92.59910583496094
